"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"Region","Holston","VSCIVCPMI","25Pct",7,63.1105891485391,"",62.2579332339702,63.640477224975
"Region","Holston","VSCIVCPMI","30Pct",8,63.5431013279669,"",61.0513891206311,67.4695475902602
"Region","Holston","VSCIVCPMI","35Pct",8,63.6155424728682,"",62.2916032759736,68.6395330395855
"Region","Holston","VSCIVCPMI","40Pct",8,63.6879836177696,"",62.6875420296453,69.7586698322396
"Region","Holston","VSCIVCPMI","45Pct",9,64.9389033333925,"",62.8580428745826,72.9161802024665
"Region","Holston","VSCIVCPMI","50Pct",11,67.3587726367639,"",63.3790317040937,73.8437297326795
"Region","Holston","VSCIVCPMI","55Pct",12,68.6425873176468,"",63.6034438609341,75.2733933387802
"Region","Holston","VSCIVCPMI","60Pct",15,69.770754099941,"",63.6849916951494,76.9372787577998
"Region","Holston","VSCIVCPMI","65Pct",18,71.1166685458579,"",65.3577232903201,77.3896972694692
"Region","Holston","VSCIVCPMI","70Pct",20,73.2764010677835,"",67.7671985001904,77.5240625767501
"Region","Holston","VSCIVCPMI","75Pct",22,74.971947033048,"",69.7153247596201,77.643335504722
"Region","Holston","VSCIVCPMI","80Pct",24,76.8925506453445,"",70.0470171765711,79.9725406531183
"Region","Holston","VSCIVCPMI","85Pct",25,77.4094579739526,"",72.4109246027392,81.90945824
"Region","Holston","VSCIVCPMI","90Pct",25,77.5713014026303,"",73.7071244658379,81.90945824
"Region","Holston","VSCIVCPMI","95Pct",25,77.733144831308,"",75.5593659519878,81.90945824
"Region","Holston","VSCIVCPMI","99Pct",28,80.6630197645829,"",78.749602719372,81.90945824
"Region","Holston","VSCIVCPMI","Mean",29,68.5322045508397,"1.44225518550781",65.7054363307282,71.3589727709511
"Region","Holston","VSCIVCPMI","Variance",29,50.7261409932803,"8.88233578733771",33.3170827515072,68.1351992350535
"Region","Holston","VSCIVCPMI","Std. Deviation",29,7.12222865353818,"0.623564351793532",5.9000649819798,8.34439232509657
"Region","Big Sandy","VSCIVCPMI","1Pct",1,33.13,"",33.13,33.8618432266343
"Region","Big Sandy","VSCIVCPMI","5Pct",1,34.6168279001094,"",33.5788621486286,35.6547936515902
"Region","Big Sandy","VSCIVCPMI","10Pct",1,36.5875119866388,"",35.0775181466002,37.860127136579
"Region","Big Sandy","VSCIVCPMI","15Pct",3,37.9103494203212,"",33.13,44.1676080123044
"Region","Big Sandy","VSCIVCPMI","20Pct",3,38.1251841300068,"",33.8582647637373,45.1168525454335
"Region","Big Sandy","VSCIVCPMI","25Pct",4,38.5536162328593,"",34.274288672664,50.2495156161379
"Region","Big Sandy","VSCIVCPMI","30Pct",6,42.634278155864,"",36.6380019284723,50.7802087774018
"Region","Big Sandy","VSCIVCPMI","35Pct",7,44.7380187713067,"",37.9418637471492,50.8456479209844
"Region","Big Sandy","VSCIVCPMI","40Pct",7,45.7221974827612,"",38.1634408653252,51.3480621578982
"Region","Big Sandy","VSCIVCPMI","45Pct",9,49.5877123165747,"",38.397794005148,52.6993532838774
"Region","Big Sandy","VSCIVCPMI","50Pct",10,50.7821163076718,"",42.0383908369872,52.9081640858607
